,评论作者,评论时间,IP属地,点赞数,评论内容
0,转生春卷,2023-2-3 3:59,IP属地：黑龙江,1028,不要为他人找借口，对于绝大多数事你的第一直觉都是很准确的，对方说话带刺你还总想着对方没坏心思内心为对方各种辩解，这样很容易成为讨好型人格，成年人社交只看钱权，老??家庭尤为如此
1,灰暗的北极,2023-2-3 10:09,IP属地：山东,80,真有可能是自己感觉错了，以前我觉得朋友关心我是讽刺我，渐渐就没人劝我了。我自己有抵触情绪，看谁关心我都像有负面的意思。
2,Alu1718,2023-2-4 11:53,IP属地：海南,37,确实，而且很多时候你想好好沟通对方也不会领情，别人一直在发泄情绪而你只会忍让会被认为是应该的，良好的沟通也是双向奔赴的，就一方努力会很累而且多数是会让人得寸进尺
3,得福酱呢,2023-2-8 22:32,IP属地：广西,2,回复 @灰暗的北极 :我有个同事就是这样，跟她沟通好累
4,C小C迷路啦,2023-2-2 17:27,IP属地：山东,2033,"看到PAC解释的时候我惊呆了
现在很多小说写作教成，塑造人物内心冲突用的都是这个理论[tv_目瞪口呆][tv_目瞪口呆][tv_目瞪口呆]"
5,要用力生活啊,2023-2-3 9:43,IP属地：甘肃,40,《蛤蟆先生去看心理医生》也是
6,A-打-噼里啪啦,2023-2-3 13:34,IP属地：北京,4,回复 @要用力生活啊 :我也是看完这本书才看到这个视频的~
7,跟着杯子有糖吃,2023-2-2 22:35,IP属地：安徽,783,每次想以成人的状态说出友好的建议时，好像不知不觉就回变成父母状态的说教感[灵魂出窍]
8,Souvenir的K布丁,2023-2-2 23:35,IP属地：甘肃,57,真的很[灵魂出窍][灵魂出窍]，我也是，明明不是那个意思，但说出来，就成那样了。。
9,_O-,2023-2-3 13:41,IP属地：四川,158,你就心态平和，语气平缓，抱着对方听也罢不听也罢，做好对方反驳或者不按照你说的做的思想，就行了，点到为止言尽于此。之所以觉得自己是父母说教，说白了就是你一定要把自己的想法强加在别人身上，觉得这么好的方法别人为什么不听自己的，自己明明是为对方好，可是每个人都有自己的思想和思考，就算是克隆人思想都会不一样吧，更何况是独立的个体呢
10,多问为什么勤思考,2023-2-3 13:57,IP属地：湖北,33,回复 @莫沧古蓝 :确实，不要带着偏见去沟通，一切就水到渠成。平行沟通是最舒服的
11,尼丿玛,2023-2-2 19:35,IP属地：江苏,1150,你可能有甲减，你讲话的时候脖子鼓动的特别严重，我妈有甲减，所以我就特别敏感看到那个鼓动幅度，盯着看了很久，感觉可能性很大
12,当地杰出entp,2023-2-2 19:42,IP属地：湖南,233,想起听asmr心脏音判断出主播有心脏问题的医生，up如果最近没做过体检确实可以检查一下
13,T君T酱,2023-2-3 8:39,IP属地：甘肃,50,回复 @当地杰出entp :嗯嗯
14,今天写小说了嘛,2023-2-2 20:44,IP属地：菲律宾,2163,"一、PAC三种沟通状态：
1.Parent：父母自我状态
无意识的模仿父母对待孩子的方式。
养育型和控制型。

2.Adult：成人自我状态
冷静、清醒、自持，对在什么情况下做出什么样的反应有明确的判断。

3.Child：儿童自我状态
比较脆弱，容易被影响且渴望讨大人的欢心。
反叛型和顺从型。

二、影响
当沟通模式发生错位的时候，容易出现人际交往的问题，主要表现为两种。

1.想要发起成人之间的沟通，但是对方却以父母的姿态批评你，从而激发了儿童沟通模式下的自动化反应，很容易情绪上头，而且还想要获得对方的认可。

比如说回家过年，亲戚上来就问：为啥这个年纪了还不结婚。

2.想要发起成人之间的沟通，对方却把你当做了攻击他的父母，进入了反叛型儿童的沟通模式。

无论你说什么，对方都觉得你在故意攻击他。

三、怎么做
我们要通过一个人说的话，做的事情，看到他内心究竟在想什么，他为什么会这样，看到他的恐惧和忧虑。

我们每个人都有自动化的情绪，也有从小习得的不良的沟通模式，但重要的不是我们曾经习惯怎样与人交流，而是我们想要怎样与人交流。

通过现象看本质，多观察自己的状态和他人的状态，不要完全被下意识控制。"
15,洛祈Riky,2023-2-3 8:49,IP属地：江西,1,非暴力沟通[doge]
16,减肥的140,2023-2-3 8:54,IP属地：江苏,71,回复 @洛祈Riky :这个和非暴力沟通不是一个路子 非暴力沟通的核心理念是 只说事 坚决不说人
17,哐哐当当咔咔,2023-2-2 17:36,IP属地：湖北,927,我自己解决内耗的办法，我的内耗发生在打游戏和工作之间，我打游戏总有负罪感，觉得应该去工作去学习，工作学习时又累，觉得要打游戏消遣，后来我想了个办法，我就把打游戏当成工作一样，比如用ppt做攻略给一起玩的朋友汇报，带团队打副本做指挥，给新人培训讲解攻略等，奇迹就来了，内耗解决了，我自己总结的哈，内耗指的你有两种欲望不能调和，需要创新的调和超越，不能中庸，也不能妥协给任何一方，要想一个创新的办法，类似于产生一个新的模式
18,FakeRapper99,2023-2-3 0:07,IP属地：湖北,10,哈哈哈哈那这时候工作怎么办诶
19,我是一种蓝,2023-2-3 0:41,IP属地：浙江,63,我以为你去沉浸工作。结果是消除罪恶感沉浸游戏了[]那玩意玩游戏5分钟就丢脑后了[微笑]
20,哐哐当当咔咔,2023-2-3 11:13,IP属地：湖北,51,回复 @我是一种蓝 :不是这样，工作也没丢，游戏也没丢，而是让游戏和工作相互促进，比如我给朋友讲ppt攻略，它能促进我现实工作ppt汇报这样子，也就是说，这两个不是对立的了，是相互促进的意思，那么内耗就不存在了，我自己摸索出来的，在很多事情上都是这样貌似，比如看书和刷抖音，做卫生和躺着等这些对立的事情，都可以创造性的提出办法，达成相互促进，有点像鱼和熊掌我都要，内耗就是我们自己认为想要的两件事是对立的，但其实通过思考可以不对立，相互促进，我自己摸索着解决了很多以前内耗的事情，纯属自己摸索哈……
21,你真是烦呐,2023-2-2 17:23,IP属地：广西,496,这个视频好棒！终于知道自己在面对妈妈唠叨责备的时候突然涌现出的抑制不住的怒气是怎么回事了，一直知道自己像个孩子，一点都不成熟，但是却不知道怎么去改变，很多次和妈妈沟通都很窒息，这个视频终于让我了解一些这个状态是怎么回事。或许我应该多多了解一些心理方面的知识了。父母都没有太高的文化，他们可能不能理解这些，但或许我能用一些心理上的知识让彼此之间更好地相处和沟通
22,Nohara,2023-2-2 18:30,IP属地：江西,44,我也是这么觉得的，不过现在的我有些时候跟我妈交流还是很痛苦，因为我感觉我无法对我妈有关心的行为，一想到和她接触我就觉得窒息，我对她的感性很无奈，因为我情商真的很低无法共情，总是和她讲道理的时候她都会扯其他的无关因素指责我，完全无法交流。虽然我妈人确实挺好，她非常的热情和感性，相较下我和我爸就跟木头一样[笑哭]父女俩聊的很理智。希望将来我能更接受我妈一点吧。
23,多问为什么勤思考,2023-2-3 14:15,IP属地：湖北,7,回复 @Nohara :我和你相反，和老妈交流舒服，一和老爸交流就吵。我爸也是个急性子，不和你讲道理，天天只会说别人家小孩怎么怎么样，你怎么怎么样，我真的大无语[辣眼睛][辣眼睛]
24,喵了格咪咪咪咪咪咪咪咪咪咪,2023-2-18 9:21,IP属地：福建,1,回复 @Nohara :我就像一个木头，我妈就像火，每次听她说话我都气不打一处来[藏狐]
25,梦想是kirakira的小奶龙,2023-2-3 2:09,IP属地：黑龙江,349,这视频做的太棒了。。事实上大部分有心理问题和疾病的人都是受到童年时期的环境和原生家庭带来的种种不好的影响所导致的  我本人也是这样。。就像up所说的 不再让儿时的出厂配置来决定长大以后的自己沟通模式  敢于去学习 打破以前的种种不良认知才是救赎自己的关键啊 虽然这很难 就好比我来说 可能童年时期父母疏忽了对自己情感上的关怀  我觉得自己就像一直困在儿童模式的小孩子一样 过分的去向他人索取爱  想把别人当成自己的依靠 同时内心又很敏感脆弱和自卑  总是担心别人会抛弃自己。。所以我要做的可能也是打破这种内心的不良循环吧。。尽管我不知道该怎么努力改变现状  可能这辈子都没法改变缺爱的状态了  但我也想尽量让自己的内心变强大一些 去决定自己的命运和眼中的世界[小A和小B_低头]
26,散仙泡泡,2023-2-3 16:19,IP属地：辽宁,39,其实挺正常的，只要是人类，无论多么强大自信，都是会本能的渴望得到他人的认可和关心，这是我们人类身为群居动物的本能，其实也包括恐惧，困惑，焦虑等等，其实都是人们在正常不过的情感了，你不用因此去怀疑自我。反而其实了解了这些，认识了自己也是有血有肉有七情六欲的人，也才能真正的不会因为产生这些负面的东西而怀疑是不是自己有问题。其实只要不去无端伤害他人。选择什么是无关对错的。
27,梦想是kirakira的小奶龙,2023-2-17 23:35,IP属地：黑龙江,1,回复 @散仙泡泡 :大佬说的很对  其实可能也是我过度妖魔化自己的问题了吧  我曾经因为感情问题对自己产生了怀疑  有句话叫当你喜欢上了不合适的人后  你就失去了自我  我感觉我也是这样  为了得到依靠填补我内心中缺失的爱  我总是在讨好人家 每天都会焦虑彼此的关系 后面分开以后就把一切错都归结在自己过度缺爱的内心上  也走了一段时间物极必反的道路（基本不和别人联系，控制自己不去依赖别人和怀疑彼此的关系）有些时候想想 我的路是不是越走越错了呢  我觉得可能自己最大的问题就是学不会接纳自己吧[蛆音娘_die]
28,_曲卓,2023-2-3 9:42,IP属地：韩国,186,喜欢安静的做自己的事，不想耍心眼儿兜圈子，一就是一二就是二，非诚勿扰。好了，我们沟通吧[脸红]
29,岚山流岚现青兰,2023-2-4 5:31,IP属地：陕西,26,三体人的思维是透明的，而人类不是。所以当他们知道人类有欺骗这项技能的时候，沟通的基础就不存在了
30,_曲卓,2023-2-4 6:34,IP属地：韩国,1,回复 @岚山流岚现青兰 :[笑哭][笑哭][笑哭][支持]
31,Keralt,2023-2-6 12:20,IP属地：上海,14,当所有人都只说真话的时候，世界在3天内毁灭了[doge]
32,草莓味的少女果酱,2023-2-2 18:29,IP属地：江西,345,哇很有收获，虽然实际沟通不一定能立刻很好地运用操作，但是了解了这种理论，能帮助控制情绪，理性地复盘一些人际交往关系，减少自我内耗
33,dollpuppet,2023-2-2 19:17,IP属地：黑龙江,1,多多练习就会熟悉的吧[歪嘴]
34,草莓味的少女果酱,2023-2-2 21:42,IP属地：江西,2,回复 @dollpuppet :确实！作为社恐更要好好练习[大哭]
35,阿尔赫雅,2023-2-2 20:16,IP属地：广东,201,我笑总会控制不住，比如被老师点名，答对问题，总会控制不住笑，或很难控制，有没有方法改变这个行为[doge]
36,ccccccccccccning,2023-2-2 20:20,IP属地：辽宁,51,加一，尴尬的时候忍不住笑，对方觉得更愤怒…我控制不住[笑哭]
37,玉回雪,2023-2-2 23:46,IP属地：广西,4,回复 @ccccccccccccning :尴尬的时候笑加一
38,毛毛冒毛猫,2023-2-3 6:15,IP属地：安徽,120,"父母笑着说:你要考不上大学，我们就去深山老林里面。
这样并没有大声呵斥，温柔的刀子是那种型?"
39,没水,2023-2-3 6:59,IP属地：北京,49,控制型期待顺从儿童型沟通。威胁的本意是控制
40,林逋一,2023-2-4 1:56,IP属地：江西,27,个人认为家长内心的儿童状态害怕你考不上学和他人的看法，所以你要安慰家长以成人的方式回答家长
41,酒归里,2023-2-4 18:14,IP属地：广东,40,我赞同楼上的观点[笑哭]如果是我我就用成人或者父母状态回应：不怕，万一我考不上大学，你们住深山老林我出去打工攒钱把你们救出来
42,叫我薛乐,2023-2-3 12:38,IP属地：江西,78,抛弃固化思维――回应别人或者思考他人言语时，冷静十秒，想像一下其他的思考方式。
43,仙女座阿瞬,2023-2-3 12:48,IP属地：陕西,63,我就一句“我怎么过日子关你什么事”就能把他们磕的邦邦的。
44,哪里都是坑,2023-2-3 13:59,IP属地：四川,36,他会说，我是你妈。你是我生的，我不管谁管。你要反驳他，他会说你没良心，养了个白眼狼。等等
45,林逋一,2023-2-4 1:57,IP属地：江西,25,可是这样就是反叛型儿童状态
46,头脑p,2023-2-8 22:24,IP属地：河北,8,回复 @林逋一 :反叛也没关系 主要看你的目的 如果你不想把关系搞遭 就冷静下来克服反叛心理 以家长模式或者成人模式沟通 如果你就是想要堵上他们的嘴 直接说也没问题
47,是筷子先动的手,2023-2-2 23:32,IP属地：重庆,27,被up暖到了[大哭][大哭]
48,T君T酱,2023-2-3 8:47,IP属地：甘肃,1,[拥抱][拥抱]
49,Derek_C,2023-2-2 18:33,IP属地：澳大利亚,83,T酱的视频果然适合 一个人独处的时候看
50,莫派文苑,2023-2-13 10:12,IP属地：吉林,0,-->BV1Qv4y1s7VB
51,Richaw,2023-2-14 1:57,IP属地：陕西,0,"回复 @金元舒 : 
？"
52,四九__p,2023-2-2 21:07,IP属地：陕西,45,对自由那段很有感触很认同，我之前也想过那种仔细观察然后能自由转换多样化的心态和模式。就是不在自动化反应脱口而出而是有意的想试一下以不一样的姿态去面对原来的大小事感觉会很新奇，有帮助
53,菥雪,2023-2-3 10:44,IP属地：浙江,24,真的好及时啊这期！和父母关系最近非常僵，看了之后有了思考，父母对我的担忧以控制父母状态出现，我的变化就是从儿童状态和父母状态反复横跳，也许用成人状态去回应值得一试吧[给心心]
54,c而,2023-2-9 9:33,IP属地：贵州,0,已经21岁了
55,c而,2023-2-9 9:33,IP属地：贵州,0,我感觉我和父母的关系一直都是儿童状态
56,菥雪,2023-2-9 12:05,IP属地：浙江,1,回复 @c而 :成人状态沟通看看，不好的话，沉默是金！尽早独立！父母也是第一次做父母啦！关系不好，咱尽早靠自己！追寻自己的生活！共勉！[奋斗]
57,10086SKAD,2023-2-2 17:03,IP属地：北京,90,刚做完疗愈内在小孩练习，就发现你更新了[热词系列_知识增加]
58,kinderheart,2023-2-2 22:30,IP属地：浙江,1,我今天沟通不是特别满意，回来使劲想着从b站找个沟通的视频就刷到了
59,打铁吧摆烂人,2023-2-7 9:54,IP属地：北京,1,"回复 @kinderheart : 我就不同了,  我感觉自己被监视了. 
因为我在生活中确实遇到了严重的沟通问题.
但我根本没在网络中搜索这方面的方案. 
嘶~"
60,Ancient books,2023-2-19 1:09,IP属地：江西,0,你好，请问这个联系内容是这位up之前的视频吗？我也很想了解，希望可以指路[给心心]
61,羊羊羊快跑哇,2023-2-3 12:19,IP属地：湖南,22,不懂就问，请问提出pac理论的书叫什么名字呀[脱单doge]
62,于名名,2023-2-3 23:55,IP属地：北京,3,同问，搜索《人们玩的游戏》没有搜到相关的书籍，求推荐[保佑]
63,Polo-T,2023-2-4 3:21,IP属地：上海,3,书名:人间游戏
64,于名名,2023-2-5 9:03,IP属地：北京,0,回复 @Polo-T :收到~感谢~[拥抱]
65,转生春卷,2023-2-3 3:59,IP属地：黑龙江,1028,不要为他人找借口，对于绝大多数事你的第一直觉都是很准确的，对方说话带刺你还总想着对方没坏心思内心为对方各种辩解，这样很容易成为讨好型人格，成年人社交只看钱权，老??家庭尤为如此
66,灰暗的北极,2023-2-3 10:09,IP属地：山东,80,真有可能是自己感觉错了，以前我觉得朋友关心我是讽刺我，渐渐就没人劝我了。我自己有抵触情绪，看谁关心我都像有负面的意思。
67,Alu1718,2023-2-4 11:53,IP属地：海南,37,确实，而且很多时候你想好好沟通对方也不会领情，别人一直在发泄情绪而你只会忍让会被认为是应该的，良好的沟通也是双向奔赴的，就一方努力会很累而且多数是会让人得寸进尺
68,得福酱呢,2023-2-8 22:32,IP属地：广西,2,回复 @灰暗的北极 :我有个同事就是这样，跟她沟通好累
69,C小C迷路啦,2023-2-2 17:27,IP属地：山东,2033,"看到PAC解释的时候我惊呆了
现在很多小说写作教成，塑造人物内心冲突用的都是这个理论[tv_目瞪口呆][tv_目瞪口呆][tv_目瞪口呆]"
70,要用力生活啊,2023-2-3 9:43,IP属地：甘肃,40,《蛤蟆先生去看心理医生》也是
71,A-打-噼里啪啦,2023-2-3 13:34,IP属地：北京,4,回复 @要用力生活啊 :我也是看完这本书才看到这个视频的~
72,跟着杯子有糖吃,2023-2-2 22:35,IP属地：安徽,783,每次想以成人的状态说出友好的建议时，好像不知不觉就回变成父母状态的说教感[灵魂出窍]
73,Souvenir的K布丁,2023-2-2 23:35,IP属地：甘肃,57,真的很[灵魂出窍][灵魂出窍]，我也是，明明不是那个意思，但说出来，就成那样了。。
74,_O-,2023-2-3 13:41,IP属地：四川,158,你就心态平和，语气平缓，抱着对方听也罢不听也罢，做好对方反驳或者不按照你说的做的思想，就行了，点到为止言尽于此。之所以觉得自己是父母说教，说白了就是你一定要把自己的想法强加在别人身上，觉得这么好的方法别人为什么不听自己的，自己明明是为对方好，可是每个人都有自己的思想和思考，就算是克隆人思想都会不一样吧，更何况是独立的个体呢
75,多问为什么勤思考,2023-2-3 13:57,IP属地：湖北,33,回复 @莫沧古蓝 :确实，不要带着偏见去沟通，一切就水到渠成。平行沟通是最舒服的
76,尼丿玛,2023-2-2 19:35,IP属地：江苏,1150,你可能有甲减，你讲话的时候脖子鼓动的特别严重，我妈有甲减，所以我就特别敏感看到那个鼓动幅度，盯着看了很久，感觉可能性很大
77,当地杰出entp,2023-2-2 19:42,IP属地：湖南,233,想起听asmr心脏音判断出主播有心脏问题的医生，up如果最近没做过体检确实可以检查一下
78,T君T酱,2023-2-3 8:39,IP属地：甘肃,50,回复 @当地杰出entp :嗯嗯
79,今天写小说了嘛,2023-2-2 20:44,IP属地：菲律宾,2163,"一、PAC三种沟通状态：
1.Parent：父母自我状态
无意识的模仿父母对待孩子的方式。
养育型和控制型。

2.Adult：成人自我状态
冷静、清醒、自持，对在什么情况下做出什么样的反应有明确的判断。

3.Child：儿童自我状态
比较脆弱，容易被影响且渴望讨大人的欢心。
反叛型和顺从型。

二、影响
当沟通模式发生错位的时候，容易出现人际交往的问题，主要表现为两种。

1.想要发起成人之间的沟通，但是对方却以父母的姿态批评你，从而激发了儿童沟通模式下的自动化反应，很容易情绪上头，而且还想要获得对方的认可。

比如说回家过年，亲戚上来就问：为啥这个年纪了还不结婚。

2.想要发起成人之间的沟通，对方却把你当做了攻击他的父母，进入了反叛型儿童的沟通模式。

无论你说什么，对方都觉得你在故意攻击他。

三、怎么做
我们要通过一个人说的话，做的事情，看到他内心究竟在想什么，他为什么会这样，看到他的恐惧和忧虑。

我们每个人都有自动化的情绪，也有从小习得的不良的沟通模式，但重要的不是我们曾经习惯怎样与人交流，而是我们想要怎样与人交流。

通过现象看本质，多观察自己的状态和他人的状态，不要完全被下意识控制。"
80,洛祈Riky,2023-2-3 8:49,IP属地：江西,1,非暴力沟通[doge]
81,减肥的140,2023-2-3 8:54,IP属地：江苏,71,回复 @洛祈Riky :这个和非暴力沟通不是一个路子 非暴力沟通的核心理念是 只说事 坚决不说人
